ลำดับ,รหัส อปท.,ชื่ออปท.,ประเภท,อำเภอ,จังหวัด,ภูมิภาค,เว็บไซต์ของเทศบาล
1,04350102,เทศบาลเมืองยโสธร,เทศบาลเมือง,เมืองยโสธร,ยโสธร,ตะวันออกเฉียงเหนือ,https://yasocity.go.th/
2,03950102,เทศบาลนครยะลา,เทศบาลนคร,เมืองยะลา,ยะลา,ใต้,https://www.yalacity.go.th/event.php
3,04670501,เทศบาลเมืองวิเชียรบุรี,เทศบาลเมือง,วิเชียรบุรี,เพชรบูรณ์,กลาง,https://www.wichainburee.go.th/home
4,04341501,เทศบาลเมืองวารินชำราบ,เทศบาลเมือง,วารินชำราบ,อุบลราชธานี,ตะวันออกเฉียงเหนือ,https://www.warincity.go.th/
5,04530102,เทศบาลเมืองอุตรดิตถ์,เทศบาลเมือง,เมืองอุตรดิตถ์,อุตรดิตถ์,เหนือ,https://www.uttaraditcity.go.th/home
6,04610102,เทศบาลเมืองอุทัยธานี,เทศบาลเมือง,เมืองอุทัยธานี,อุทัยธานี,กลาง,https://www.uthaicity.go.th/home
7,03410102,เทศบาลนครอุดรธานี,เทศบาลนคร,เมืองอุดรธานี,อุดรธานี,ตะวันออกเฉียงเหนือ,https://www.udoncity.go.th/frontend/web/
8,04230102,เทศบาลเมืองตราด,เทศบาลเมือง,เมืองตราด,ตราด,ตะวันออก,https://www.tratcity.go.th/
9,03920102,เทศบาลนครตรัง,เทศบาลนคร,เมืองตรัง,ตรัง,ใต้,https://www.trangcity.go.th/
10,04501301,เทศบาลเมืองต้นเปา,เทศบาลเมือง,สันกำแพง,เชียงใหม่,เหนือ,https://www.tonpao.go.th/view_data.php?main=box_menu&id=30
11,04390102,เทศบาลเมืองหนองบัวลำภู,เทศบาลเมือง,เมืองหนองบัวลำภู,หนองบัวลำภู,ตะวันออกเฉียงเหนือ,https://www.tm-nbp.go.th/event2
12,04901106,เทศบาลเมืองทุ่งตำเสา,เทศบาลเมือง,หาดใหญ่,สงขลา,ใต้,https://www.thungtamsao.go.th/contactus
13,04800901,เทศบาลเมืองทุ่งสง,เทศบาลเมือง,ทุ่งสง,นครศรีธรรมราช,ใต้,https://www.thungsongcity.go.th/frontpage
14,04220303,เทศบาลเมืองท่าใหม่,เทศบาลเมือง,ท่าใหม่,จันทบุรี,ตะวันออก,https://www.thamaicity.go.th/
15,04130201,เทศบาลเมืองท่าโขลง,เทศบาลเมือง,คลองหลวง,ปทุมธานี,กลาง,https://www.thakhlong.go.th/public/
16,04430201,เทศบาลเมืองท่าบ่อ,เทศบาลเมือง,ท่าบ่อ,หนองคาย,ตะวันออกเฉียงเหนือ,https://www.thabo-mu.go.th/
17,04630102,เทศบาลเมืองตาก,เทศบาลเมือง,เมืองตาก,ตาก,ตะวันตก,https://www.tessabantak.go.th/index.php
18,04560501,เทศบาลเมืองดอกคำใต้,เทศบาลเมือง,ดอกคำใต้,พะเยา,เหนือ,https://www.tessabandokkhamtai.go.th/
19,04220103,เทศบาลเมืองท่าช้าง,เทศบาลเมือง,เมืองจันทบุรี,จันทบุรี,ตะวันออก,https://www.tccity.go.th/
20,04240102,เทศบาลเมืองฉะเชิงเทรา,เทศบาลเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,ตะวันออก,https://www.tbmccs.go.th/landing-page
